[2025-06-28 15:59:38,767][INFO] Iter 0: train_loss=0.0000, val_loss=4.6600, TF=0.0003, path_acc=0.0003, newline_at_pad=5.58%
[2025-06-28 15:59:48,276][INFO] Iter 2000: train_loss=1.5949, val_loss=0.9759, TF=0.7517, path_acc=0.7164, newline_at_pad=38.59%
[2025-06-28 15:59:57,746][INFO] Iter 4000: train_loss=0.6150, val_loss=1.0696, TF=0.7593, path_acc=0.7288, newline_at_pad=19.53%
[2025-06-28 16:00:07,376][INFO] Iter 6000: train_loss=0.5812, val_loss=1.1783, TF=0.7385, path_acc=0.6966, newline_at_pad=15.08%
[2025-06-28 16:00:16,906][INFO] Iter 8000: train_loss=0.5726, val_loss=1.0629, TF=0.7540, path_acc=0.7238, newline_at_pad=27.92%
[2025-06-28 16:00:26,389][INFO] Iter 10000: train_loss=0.5561, val_loss=1.2132, TF=0.7495, path_acc=0.7110, newline_at_pad=24.42%
[2025-06-28 16:00:35,829][INFO] Iter 12000: train_loss=0.5521, val_loss=1.2054, TF=0.7392, path_acc=0.7028, newline_at_pad=12.82%
[2025-06-28 16:00:45,276][INFO] Iter 14000: train_loss=0.5537, val_loss=1.2147, TF=0.7430, path_acc=0.7066, newline_at_pad=4.79%
[2025-06-28 16:00:54,721][INFO] Iter 16000: train_loss=0.5500, val_loss=1.2227, TF=0.7448, path_acc=0.7076, newline_at_pad=12.68%
[2025-06-28 16:01:04,197][INFO] Iter 18000: train_loss=0.5490, val_loss=1.1502, TF=0.7465, path_acc=0.7132, newline_at_pad=7.30%
[2025-06-28 16:01:13,685][INFO] Iter 20000: train_loss=0.5515, val_loss=1.2537, TF=0.7490, path_acc=0.7139, newline_at_pad=11.37%
[2025-06-28 16:01:23,228][INFO] Iter 22000: train_loss=0.5385, val_loss=1.1736, TF=0.7455, path_acc=0.7100, newline_at_pad=10.54%
[2025-06-28 16:01:32,681][INFO] Iter 24000: train_loss=0.5514, val_loss=1.1905, TF=0.7510, path_acc=0.7183, newline_at_pad=7.51%
[2025-06-28 16:01:42,066][INFO] Iter 26000: train_loss=0.5257, val_loss=1.2993, TF=0.7413, path_acc=0.7017, newline_at_pad=3.65%
[2025-06-28 16:01:51,438][INFO] Iter 28000: train_loss=0.5356, val_loss=1.2477, TF=0.7438, path_acc=0.7043, newline_at_pad=12.68%
[2025-06-28 16:02:00,971][INFO] Iter 30000: train_loss=0.5411, val_loss=1.2430, TF=0.7390, path_acc=0.7021, newline_at_pad=5.17%
[2025-06-28 16:02:10,382][INFO] Iter 32000: train_loss=0.5431, val_loss=1.1526, TF=0.7451, path_acc=0.7126, newline_at_pad=5.37%
